resolved_domain,text,created_at,author_id,twtid
elplaneta.mx,1,1,1,1
elmundo.es,1,1,1,1
ellinikahoaxes.gr,1,1,1,1
exame.com,1,1,1,1
expandingawarenessrelations.com,1,1,1,1
firstpost.com,1,1,1,1
finn.no,1,1,1,1
finalcall.com,1,1,1,1
file.io,1,1,1,1
fiercepharma.com,1,1,1,1
fiercehealthcare.com,1,1,1,1
fc2.net,1,1,1,1
factpact.org,1,1,1,1
factcheck.vlaanderen,1,1,1,1
fact-check.org,1,1,1,1
exstnc.com,1,1,1,1
expreso.com.mx,1,1,1,1
godskingdom.org,1,1,1,1
bezdoz.info,1,1,1,1
archive.today,1,1,1,1
arabnews.jp,1,1,1,1
apmnews.com,1,1,1,1
aph.gov.au,1,1,1,1
ao.no,1,1,1,1
anthropo-logiques.org,1,1,1,1
ansm.fr,1,1,1,1
anarcolibertad.com,1,1,1,1
amjmed.com,1,1,1,1
amerikaninsesi.com,1,1,1,1
altinget.dk,1,1,1,1
alternativenarrative.net,1,1,1,1
altaposten.no,1,1,1,1
arvojournals.org,1,1,1,1
asahi.com,1,1,1,1
asgct.org,1,1,1,1
bestbeautyzone.com,1,1,1,1
benzobuddies.org,1,1,1,1
bcm.edu,1,1,1,1
bbntimes.com,1,1,1,1
bannedbook.org,1,1,1,1
band.us,1,1,1,1
b-cdn.net,1,1,1,1
azaudit.org,1,1,1,1
axios.com,1,1,1,1
astrazeneca.com,1,1,1,1
allaboutpharmacovigilance.org,1,1,1,1
alerts.org,1,1,1,1
680news.com,1,1,1,1
abc6onyourside.com,1,1,1,1
abc.es,1,1,1,1
aap.com.au,1,1,1,1
aabrennte.com,1,1,1,1
aaaai.org,1,1,1,1
7.healthcare,1,1,1,1
4g63evo.net,1,1,1,1
38news.jp,1,1,1,1
30off.sale,1,1,1,1
24nyt.dk,1,1,1,1
150.xxx,1,1,1,1
abc7ny.com,1,1,1,1
abcnyheter.no,1,1,1,1
affects.at,1,1,1,1
aiims.edu,1,1,1,1
aifa.gov.it,1,1,1,1
agoravox.fr,1,1,1,1
agenciaajn.com,1,1,1,1
aftonbladet.se,1,1,1,1
aflds.com,1,1,1,1
ae-911truth.org,1,1,1,1
abortionfreenm.com,1,1,1,1
adverseevent.org,1,1,1,1
adreports.eu,1,1,1,1
adj.free,1,1,1,1
actublues.fr,1,1,1,1
actuall.com,1,1,1,1
acs.org,1,1,1,1
accinedeaths.com,1,1,1,1
bewusteburgers.be,1,1,1,1
coparents4vax.org,1,1,1,1
bfy.tw,1,1,1,1
churchofgladtidings.com,1,1,1,1
